,HPSA_Ind,prob_1,prob_2
0,1,0.8553235531000001,0.14467638730000001
1,2,0.17512422800000002,0.8248757720000001
2,1,0.8085927963,0.1914071739
3,1,0.8859577775,0.1140421927
4,2,0.0471757203,0.9528242946000001
5,2,9.224440000000001e-05,0.999907732
6,1,0.8954995275000001,0.1045004353
7,1,0.9479464889,0.0520534925
8,2,0.4212108552,0.5787891746
9,2,0.16160875560000001,0.8383913040000001
10,1,0.9534642696000001,0.0465357751
11,1,0.5223507881,0.4776492417
12,2,0.4685535431,0.5314464569
13,2,0.4210940897,0.5789058805
14,1,0.7239012718000001,0.2760986984
15,2,0.1054792851,0.8945207596
16,1,0.8313764334,0.1686235517
17,1,0.8427773714000001,0.1572226733
18,1,0.9479464889,0.0520534925
19,2,9e-10,1.0
20,1,0.7467536926,0.25324636700000003
21,2,4.38e-07,0.9999995232000001
22,2,1.9538800000000003e-05,0.9999804497
23,1,0.8184192777,0.1815807074
24,1,0.6792305112,0.3207695186
25,1,0.9695111513,0.030488904600000002
26,2,0.0021025965,0.9978973866
27,1,0.8979022503,0.10209770500000001
28,2,0.4467837512,0.5532162189000001
29,1,0.7180902958000001,0.28190967440000003
30,1,0.8868978620000001,0.11310219020000001
31,2,0.4574832022,0.5425168276
32,1,0.8946535587000001,0.1053465009
33,1,0.7066872716,0.2933127582
34,1,0.7221224904,0.2778774798
35,2,0.0,1.0
36,2,0.004646417700000001,0.9953535795
37,1,0.9595831633,0.0404168554
38,1,0.9612078667,0.0387921669
39,1,0.7606160045,0.23938398060000002
40,2,0.1163526475,0.8836473227
41,2,0.131197378,0.8688026071
42,1,0.9389364123,0.0610636249
43,1,0.9906849265000001,0.0093150586
44,2,0.0980388746,0.9019610882
45,1,0.870680809,0.1293192208
46,2,0.2143789083,0.7856211662
47,1,0.7255624533,0.2744375169
48,2,0.29449665550000004,0.7055034041
49,2,0.0300227422,0.9699772596
50,2,0.1720079631,0.8279920220000001
51,2,0.47046172620000004,0.5295382738000001
52,2,0.019483028000000003,0.9805169702000001
53,2,0.0689271614,0.9310728312000001
54,1,0.7305042744,0.2694957256
55,1,0.9161497355,0.08385019
56,1,0.7861636877,0.2138363272
57,2,0.3127755821,0.6872244477
58,2,0.13316679,0.8668331504000001
59,1,0.7570701838,0.24292978640000001
60,1,0.9416060448,0.0583939999
61,2,0.0002469664,0.999753058
62,1,0.6806093454000001,0.3193906546
63,1,0.7347313762000001,0.2652686238
64,1,0.8414118886,0.15858815610000002
65,2,4.183440000000001e-05,0.9999581575
66,1,0.9562767744,0.0437232405
67,1,0.8108187318000001,0.1891813129
68,2,0.0290538501,0.9709461927
69,1,0.9645344019000001,0.0354655199
70,2,0.49773821230000004,0.5022617579
71,2,0.1713392735,0.8286607265
72,1,0.9750345945000001,0.0249653216
73,1,0.6497516036000001,0.3502484262
74,1,0.7467910647,0.2532089055
75,2,0.003479606,0.9965204
76,1,0.9123905301,0.08760941030000001
77,1,0.8755353093,0.12446467580000001
78,1,0.9729648232,0.027035137600000002
79,1,0.9465947151,0.0534052849
80,1,0.7248572111,0.2751428187
81,1,0.5769865513,0.4230134487
82,1,0.5737074614000001,0.4262925088
83,2,1.0128999999999999e-06,0.9999990463
84,2,0.0186446104,0.9813553691
85,1,0.8689893484000001,0.1310106814
86,2,0.0528318658,0.9471681714
87,2,0.2795900702,0.7204099298000001
88,1,0.7681266069,0.2318733633
89,2,0.462371707,0.537628293
90,1,0.9616231322000001,0.0383768752
91,1,0.8215359449,0.17846408490000001
92,2,0.0423840247,0.9576160312
93,2,0.39538308980000003,0.60461694
94,2,0.00011417480000000001,0.9998857975000001
95,1,0.9402898550000001,0.0597100891
96,2,0.4685535431,0.5314464569
97,2,0.4849891663,0.5150108337
98,2,2.41208e-05,0.9999759197
99,1,0.9112957716000001,0.08870420600000001
100,2,0.0009880492,0.9990118742
101,1,0.5732820034,0.42671799660000004
102,1,0.5898448229000001,0.4101552069
103,2,0.1509129107,0.8490870595000001
104,1,0.8530300260000001,0.1469699293
